State,AgeGroup,Income,SavingsRate,Savings,PLI,Food,Transport,Housing,Health,Subscription,Restaurants,Clothing,Fitness,Others
Kedah,15-19,3552.88,0.147,522.26,2627,748.9,439.25,654.13,91.14,252.53,378.91,137.52,58.56,269.66
Pahang,55-59,3619.0,0.1993,721.16,2480,928.06,297.68,741.57,86.41,196.12,315.29,87.64,54.56,190.5
Sarawak,25-29,4462.71,0.1514,675.63,2618,972.62,425.56,1001.8,100.42,289.19,433.77,118.82,98.21,346.67
W.P. Kuala Lumpur,40-44,3353.36,0.0732,245.42,2816,619.41,294.85,1216.35,74.63,164.19,433.1,55.61,48.58,201.22
W.P. Putrajaya,40-44,7014.94,0.1586,1112.35,2450,403.33,106.94,2871.88,149.41,320.48,480.24,162.51,422.61,985.19
Kelantan,15-19,4495.2,0.1676,753.26,2271,988.19,473.54,725.49,57.1,283.92,700.37,105.87,55.84,351.62
Pulau Pinang,20-24,7324.37,0.1921,1407.0,2250,540.11,648.53,2076.46,171.58,245.54,671.61,191.8,241.66,1130.1
W.P. Labuan,55-59,3272.05,0.0893,292.24,2816,881.39,274.37,1082.82,52.01,200.6,250.98,65.65,29.38,142.62
Sabah,55-59,3654.65,0.1422,519.51,2742,1086.78,272.41,1102.32,70.45,154.33,228.73,73.55,20.64,125.93
W.P. Putrajaya,20-24,3077.29,0.0637,196.03,2450,430.16,41.57,1253.22,77.5,254.4,397.94,99.79,92.61,234.06
Johor,15-19,2156.0,0.0337,72.55,2589,632.36,184.29,669.41,93.89,110.76,193.56,52.95,31.18,115.07
Sarawak,40-44,4209.49,0.1492,627.88,2618,911.45,407.92,993.65,92.75,271.5,394.93,115.15,87.3,306.96
Pulau Pinang,40-44,5165.46,0.1525,787.88,2250,634.61,359.53,1254.49,119.94,353.27,942.24,136.16,101.4,475.94
Pahang,55-59,6584.5,0.1902,1252.12,2480,981.21,596.4,1223.06,159.58,574.26,826.94,144.23,230.79,595.92
Johor,25-29,4557.9,0.1534,699.12,2589,810.57,434.45,1019.58,158.16,300.46,547.95,117.83,93.8,375.98
Kelantan,50-54,3745.42,0.1452,543.85,2271,1047.18,369.39,628.77,50.32,208.7,496.48,99.94,37.95,262.84
Kelantan,55-59,5503.22,0.1823,1003.06,2271,940.11,571.95,960.24,68.39,376.31,919.64,118.12,93.89,451.49
Perlis,30-34,3135.58,0.1924,603.32,2140,731.85,331.55,546.37,63.49,197.11,339.79,77.11,41.61,203.39
Johor,55-59,5993.09,0.1837,1100.67,2589,909.74,528.73,1302.85,200.49,400.53,728.41,152.31,146.56,522.8
Kedah,50-54,3732.42,0.1459,544.58,2627,946.61,444.29,684.04,92.32,231.77,352.92,153.04,46.79,236.07
W.P. Labuan,35-39,4148.76,0.1992,826.42,2816,825.01,334.89,1102.53,55.79,296.97,360.25,77.03,49.13,220.73
Terengganu,25-29,3351.81,0.1999,669.98,2751,825.06,257.03,585.06,78.04,174.91,393.88,116.12,43.38,208.35
Perak,35-39,3980.15,0.1511,601.43,2297,784.13,362.48,778.13,112.73,262.07,524.94,120.27,74.41,359.55
Pahang,45-49,4345.69,0.157,682.28,2480,904.23,429.39,812.91,113.01,321.53,528.18,116.96,97.9,339.31
Melaka,45-49,4957.34,0.1513,750.04,2670,844.75,604.93,889.67,171.94,327.19,598.98,198.3,145.56,425.96
Pulau Pinang,50-54,3112.91,0.0903,280.97,2250,620.32,225.75,930.93,78.49,162.07,474.9,89.71,41.35,208.4
W.P. Putrajaya,45-49,6642.31,0.1586,1053.31,2450,589.66,73.11,2195.82,156.02,622.24,991.99,164.68,250.27,545.2
Selangor,55-59,4611.27,0.1428,658.29,2830,642.65,456.96,1201.58,101.51,295.73,693.48,120.81,85.72,354.53
Melaka,40-44,3000.72,0.0875,262.43,2670,807.04,298.29,735.64,119.04,154.01,288.89,115.45,57.65,162.29
Sabah,25-29,3009.41,0.0923,277.75,2742,797.72,281.78,892.63,57.03,161.61,247.32,84.76,26.72,182.09
Sarawak,20-24,2636.14,0.1288,339.51,2618,784.75,248.33,639.09,61.05,124.26,195.46,68.08,34.52,141.09
Selangor,55-59,6882.04,0.1764,1214.08,2830,551.89,617.1,1576.13,136.0,521.67,1260.26,130.59,211.28,663.05
Terengganu,45-49,4129.12,0.1571,648.48,2751,1051.91,348.92,782.91,92.36,228.07,521.0,153.44,52.6,249.42
W.P. Labuan,35-39,4205.95,0.1966,826.84,2816,799.38,339.35,1110.58,57.87,320.01,382.55,80.51,54.08,234.77
Sarawak,25-29,4822.98,0.1646,793.92,2618,988.87,458.75,1088.01,102.62,321.62,452.7,116.61,113.13,386.74
W.P. Labuan,15-19,7011.15,0.1899,1331.23,2816,812.61,756.05,2299.24,100.73,294.14,334.62,125.44,170.45,786.62
Johor,20-24,2482.31,0.0497,123.33,2589,579.11,254.87,653.4,97.33,151.72,283.94,77.69,50.66,210.25
Pulau Pinang,40-44,3422.28,0.1102,377.27,2250,527.44,271.93,920.97,82.26,227.32,581.75,106.4,57.02,269.92
Kelantan,45-49,7038.98,0.1945,1368.88,2271,1179.35,686.39,1262.48,85.83,478.44,1143.55,146.29,113.27,574.49
Pulau Pinang,60-64,4176.08,0.1403,585.92,2250,551.53,324.85,1026.46,96.65,273.1,752.2,117.26,88.97,359.15
W.P. Putrajaya,20-24,3471.11,0.0727,252.27,2450,523.33,41.39,1497.37,86.68,270.51,405.42,94.2,86.38,213.56
W.P. Kuala Lumpur,15-19,4093.61,0.1036,423.92,2816,527.12,386.93,1285.01,88.68,255.65,637.55,63.6,89.2,335.95
Johor,25-29,2591.9,0.1217,315.39,2589,617.88,234.47,669.42,94.12,133.92,253.67,67.62,37.81,167.59
W.P. Putrajaya,25-29,3595.98,0.0892,320.87,2450,458.22,46.01,1350.38,88.2,312.66,497.95,107.83,120.14,293.73
Pulau Pinang,15-19,3983.87,0.1974,786.45,2250,520.82,280.45,942.91,87.53,239.77,652.04,100.0,70.66,303.25
Terengganu,50-54,6569.55,0.1983,1302.88,2751,1030.91,537.66,1183.42,137.43,464.51,1041.32,178.51,152.17,540.74
W.P. Labuan,35-39,3721.05,0.1924,715.81,2816,797.13,308.55,990.42,52.55,250.19,307.38,69.64,40.16,189.23
Sarawak,55-59,4336.05,0.159,689.27,2618,1079.95,431.43,940.46,98.77,247.11,359.18,117.06,76.21,296.6
Negeri Sembilan,35-39,4906.86,0.152,745.97,2402,951.51,455.84,1007.28,138.09,351.46,557.54,137.39,141.68,420.11
W.P. Kuala Lumpur,50-54,5046.25,0.1941,979.68,2816,878.08,314.28,1731.08,103.3,202.63,512.62,60.42,55.52,208.64
Pulau Pinang,45-49,3779.96,0.1963,741.87,2250,698.47,237.98,958.21,89.17,174.22,524.63,96.15,45.73,213.51
Pahang,40-44,3222.22,0.1993,642.22,2480,735.67,290.32,629.89,79.29,196.6,302.6,90.45,57.65,197.52
Kelantan,15-19,4260.76,0.1591,678.04,2271,988.52,434.87,739.69,56.49,263.83,636.53,105.91,51.23,305.65
Negeri Sembilan,20-24,3058.62,0.0948,289.92,2402,674.78,322.3,662.25,87.55,214.3,348.99,91.38,87.98,279.18
Kedah,15-19,4190.95,0.1532,642.02,2627,875.63,504.42,761.57,100.03,290.56,479.67,167.92,65.37,303.76
Terengganu,45-49,3275.76,0.1939,635.29,2751,833.51,254.59,564.6,72.42,166.98,394.43,116.42,41.97,195.56
Sarawak,30-34,5563.97,0.1763,980.8,2618,999.24,574.63,1282.14,121.99,353.83,542.79,144.98,154.18,409.4
W.P. Kuala Lumpur,15-19,5675.37,0.1471,835.04,2816,607.15,482.89,1670.97,111.27,367.45,903.27,81.8,133.95,481.57
W.P. Putrajaya,15-19,7197.17,0.1543,1110.2,2450,401.48,106.03,2819.51,157.55,353.75,540.09,170.62,450.06,1087.88
Pahang,30-34,4076.56,0.1436,585.27,2480,839.82,422.15,779.35,105.4,319.21,486.6,112.27,108.15,318.35
Negeri Sembilan,50-54,3948.98,0.1417,559.67,2402,993.51,360.71,897.91,106.07,226.93,368.44,96.46,74.74,264.51
Sabah,35-39,4982.94,0.1607,800.89,2742,867.85,506.59,1351.8,90.38,345.86,491.47,119.37,70.5,338.22
Pahang,30-34,3212.27,0.1904,611.66,2480,910.7,229.18,720.95,84.06,155.63,254.59,68.03,38.86,138.6
Melaka,30-34,4302.25,0.1426,613.51,2670,771.18,514.32,744.08,149.3,296.13,541.45,171.1,124.09,377.07
Sabah,60-64,3159.89,0.1928,609.17,2742,792.11,265.28,881.51,52.54,140.46,198.98,69.17,19.25,131.43
Kelantan,20-24,3993.89,0.1541,615.28,2271,866.69,420.55,710.07,53.97,245.79,644.81,91.6,48.85,296.28
Selangor,55-59,7187.39,0.1824,1311.32,2830,581.14,588.19,1730.06,142.54,523.41,1322.6,135.43,211.1,641.61
Selangor,15-19,3377.05,0.0854,288.23,2830,421.42,336.9,906.11,77.23,274.18,610.53,87.33,80.35,294.75
Kelantan,40-44,7536.78,0.1952,1471.44,2271,1073.86,968.32,1576.21,100.83,252.3,604.54,185.47,165.84,1137.99
Sabah,60-64,4021.96,0.1433,576.18,2742,883.21,387.56,1050.29,79.67,262.65,383.01,103.66,39.7,256.04
Johor,60-64,3789.36,0.1474,558.53,2589,753.38,357.4,868.82,128.52,238.67,414.12,98.88,69.4,301.66
Kedah,40-44,3817.49,0.1515,578.27,2627,912.92,428.94,687.72,98.75,253.52,382.8,166.93,53.94,253.7
Perlis,25-29,4142.51,0.1512,626.17,2140,859.71,466.38,732.39,95.45,301.11,521.69,109.01,72.67,357.93
Perlis,35-39,3256.62,0.199,648.06,2140,656.35,361.72,547.34,68.84,239.59,374.52,75.82,50.19,234.18
Pulau Pinang,20-24,6463.05,0.1778,1148.89,2250,498.24,594.59,1843.38,151.89,227.33,604.15,173.38,222.88,998.32
Melaka,55-59,6873.43,0.1949,1339.51,2670,809.54,755.59,1179.62,221.97,495.76,920.96,204.8,280.02,665.67
Sarawak,15-19,2451.33,0.0471,115.57,2618,776.37,247.18,687.04,61.34,125.62,195.53,66.82,37.15,138.71
Pahang,25-29,7576.47,0.1948,1475.59,2480,879.81,929.97,1737.14,183.29,300.61,480.35,180.62,298.65,1110.43
W.P. Kuala Lumpur,25-29,3177.56,0.0643,204.24,2816,611.1,232.02,1321.91,76.31,141.67,355.49,42.7,37.63,154.49
W.P. Putrajaya,40-44,6570.15,0.1515,995.66,2450,447.17,71.1,2183.31,141.79,667.74,1024.92,134.42,312.52,591.51
Perlis,25-29,4369.93,0.1586,693.22,2140,886.11,503.34,744.15,97.03,337.98,573.68,105.54,68.99,359.89
Selangor,35-39,4878.82,0.145,707.46,2830,511.31,432.1,1178.28,104.82,363.73,849.44,115.3,125.72,490.67
Perlis,25-29,2856.48,0.1177,336.22,2140,840.79,320.64,593.98,62.02,165.69,276.56,69.08,28.59,162.91
Kelantan,15-19,4645.26,0.1617,751.37,2271,942.54,482.78,819.93,62.66,310.08,744.44,114.57,72.26,344.64
W.P. Kuala Lumpur,45-49,5549.22,0.1415,784.95,2816,589.62,456.84,1665.92,107.73,364.63,876.71,80.77,125.61,496.45
W.P. Labuan,50-54,5433.17,0.1555,844.7,2816,1025.49,465.72,1491.92,80.17,450.12,541.59,105.5,88.51,339.46
W.P. Kuala Lumpur,50-54,5259.74,0.195,1025.4,2816,507.29,443.54,1486.3,98.13,311.41,796.28,74.73,130.99,385.66
Kedah,55-59,4635.06,0.1649,764.21,2627,1070.1,536.44,800.03,116.72,284.65,487.3,200.55,66.38,308.68
Johor,40-44,3624.21,0.1909,691.72,2589,868.49,267.83,951.66,132.73,159.86,267.77,72.96,41.77,169.42
Selangor,35-39,5618.62,0.1556,874.06,2830,602.13,517.61,1344.76,119.49,441.27,955.0,131.99,129.87,502.46
Terengganu,50-54,5780.99,0.1816,1049.62,2751,910.86,468.04,1078.35,126.65,394.23,961.33,166.53,137.65,487.74
Sarawak,20-24,4711.94,0.1583,745.97,2618,947.68,452.11,1101.67,112.31,294.65,451.73,118.71,113.3,373.79
Melaka,15-19,4092.44,0.1491,610.07,2670,696.34,485.28,695.33,137.65,274.54,543.11,155.7,134.97,359.43
Kedah,50-54,3201.38,0.1972,631.21,2627,845.44,332.73,547.83,74.48,162.33,271.11,128.72,37.17,170.37
Terengganu,40-44,3083.57,0.194,598.16,2751,954.24,185.3,631.9,73.26,124.67,287.16,82.9,27.25,118.73
Sarawak,60-64,6373.23,0.1931,1230.92,2618,1187.76,631.07,1416.18,138.78,379.66,589.82,151.81,160.97,486.27
Melaka,45-49,4581.03,0.1565,716.77,2670,684.82,566.05,774.03,160.27,322.93,612.0,174.39,144.06,425.72
W.P. Labuan,50-54,5017.07,0.1565,785.36,2816,908.38,415.46,1448.06,72.28,404.01,501.52,90.48,75.35,316.18
Selangor,20-24,2597.16,0.0436,113.12,2830,542.86,220.3,896.86,69.65,146.42,364.43,60.07,37.45,146.02
W.P. Putrajaya,45-49,4573.71,0.1119,512.0,2450,487.24,59.43,1594.62,118.98,456.05,667.06,131.19,183.08,364.06
Sarawak,55-59,4392.89,0.16,702.71,2618,884.71,424.81,1007.58,97.44,296.46,417.88,111.29,97.79,352.2
W.P. Labuan,30-34,2860.08,0.1245,356.22,2816,766.7,220.46,865.28,44.19,181.12,222.8,57.83,25.8,119.7
Selangor,55-59,4760.82,0.1441,686.12,2830,560.02,454.24,1207.4,102.59,360.05,769.34,110.23,102.64,408.17
Terengganu,15-19,6385.35,0.1998,1275.58,2751,820.26,701.1,1400.29,152.65,213.47,503.0,216.02,190.1,912.88
Sabah,35-39,3206.92,0.199,638.07,2742,628.01,284.86,827.09,58.26,194.38,278.09,75.83,29.58,192.75
Negeri Sembilan,30-34,5102.59,0.1693,863.66,2402,898.63,506.29,979.88,139.67,368.12,588.84,129.57,162.03,465.91
Negeri Sembilan,20-24,4997.88,0.1579,789.01,2402,886.43,492.49,952.07,137.74,370.64,627.4,124.51,168.19,449.4
W.P. Putrajaya,55-59,6217.77,0.1453,903.39,2450,459.68,69.72,2109.01,139.63,639.8,914.42,136.69,313.7,531.74
Kelantan,30-34,5601.78,0.1873,1048.95,2271,928.85,565.06,983.13,71.38,398.74,926.1,109.39,92.37,477.81
Selangor,15-19,3970.56,0.193,766.32,2830,464.78,361.93,896.73,83.46,279.34,618.81,98.87,74.56,325.75
W.P. Kuala Lumpur,35-39,4416.64,0.1105,488.09,2816,560.21,382.75,1408.51,90.73,279.71,717.41,66.57,91.8,330.87
Negeri Sembilan,25-29,3722.58,0.1983,738.33,2402,738.14,335.62,713.86,99.54,252.72,377.55,98.78,90.49,277.56
Perak,40-44,2904.78,0.1116,324.05,2297,847.94,248.04,680.73,78.22,145.67,294.22,85.62,32.25,168.04
W.P. Putrajaya,15-19,5384.09,0.1911,1029.08,2450,443.27,63.34,1659.74,116.88,492.62,794.51,133.85,232.07,418.73
W.P. Labuan,60-64,7175.22,0.1871,1342.72,2816,996.8,607.42,1981.89,101.65,637.51,761.99,116.91,143.2,485.13
Perak,30-34,3353.89,0.1914,641.95,2297,818.35,279.56,635.52,86.02,181.16,337.59,109.4,41.65,222.71
Sarawak,50-54,5845.38,0.1851,1082.17,2618,1055.16,585.14,1258.77,131.55,378.45,583.87,152.09,154.63,463.56
Kedah,25-29,3411.22,0.147,501.38,2627,871.34,377.99,631.78,79.86,209.2,325.38,146.06,43.04,225.18
Kelantan,35-39,4240.3,0.154,653.09,2271,1091.62,413.5,730.75,56.2,253.79,599.8,103.9,44.18,293.47
Selangor,60-64,5140.8,0.1442,741.31,2830,561.93,471.44,1251.16,113.48,394.3,896.98,118.9,123.48,467.81
Selangor,35-39,4544.56,0.1495,679.58,2830,617.01,422.9,1151.71,95.72,306.79,723.1,113.06,82.15,352.52
Pulau Pinang,55-59,5377.68,0.1681,903.73,2250,765.62,362.66,1279.4,129.53,323.98,918.84,159.01,88.04,446.86
Sarawak,40-44,5999.48,0.1818,1090.69,2618,1165.31,560.39,1362.55,138.47,384.99,552.23,144.91,139.9,460.06
Pahang,25-29,4123.06,0.1432,590.61,2480,865.36,394.0,796.04,102.88,322.89,503.62,116.44,104.38,326.85
W.P. Kuala Lumpur,30-34,5915.15,0.1475,872.62,2816,556.28,492.21,1878.81,116.45,346.34,940.42,85.13,155.48,471.41
Melaka,60-64,3059.99,0.0936,286.4,2670,643.15,385.55,621.72,114.58,195.76,335.62,136.51,82.69,258.02
Kedah,40-44,4077.06,0.1511,615.99,2627,1043.73,469.31,739.79,98.75,237.61,379.47,170.41,54.39,267.61
Johor,55-59,7545.86,0.1989,1500.54,2589,919.58,661.7,1661.43,226.53,530.11,936.45,155.77,228.04,725.72
Selangor,60-64,6147.7,0.1651,1014.99,2830,621.63,556.05,1436.42,133.39,475.65,1057.35,144.1,168.21,539.92
W.P. Putrajaya,30-34,3337.82,0.0797,266.02,2450,497.08,38.59,1394.6,83.4,257.09,423.97,89.32,79.07,208.7
Perlis,45-49,4424.48,0.1522,673.41,2140,988.32,520.5,797.79,101.02,305.39,506.52,120.82,64.64,346.07
W.P. Labuan,30-34,4241.48,0.1986,842.35,2816,767.98,345.13,1113.61,59.42,327.31,396.22,74.64,61.67,253.15
Sabah,35-39,4958.04,0.1695,840.46,2742,833.8,506.04,1342.19,92.52,321.36,498.85,114.7,64.67,343.44
Johor,35-39,5600.24,0.1769,990.53,2589,851.69,523.09,1194.0,186.46,390.31,665.71,144.05,134.54,519.85
Perlis,15-19,3373.68,0.1906,643.15,2140,762.73,372.95,545.76,70.62,219.29,379.21,84.92,44.26,250.79
W.P. Kuala Lumpur,55-59,6795.7,0.162,1101.1,2816,563.61,571.3,2096.33,126.33,422.5,1102.92,78.67,189.13,543.8
Negeri Sembilan,60-64,3681.91,0.1944,715.74,2402,704.3,322.44,679.37,96.29,256.25,411.27,89.88,99.51,306.86
W.P. Putrajaya,60-64,5637.99,0.1993,1123.41,2450,495.43,65.21,1737.95,120.56,531.69,781.02,136.42,196.69,449.62
W.P. Kuala Lumpur,25-29,5229.73,0.1937,1012.89,2816,587.0,415.07,1542.47,98.78,298.99,727.41,71.94,105.83,369.35
Negeri Sembilan,20-24,5294.13,0.1615,855.2,2402,842.43,505.97,1046.06,141.98,408.05,647.27,128.5,220.41,498.26
Perak,30-34,2918.02,0.1167,340.42,2297,807.08,274.67,613.76,84.49,158.95,307.51,97.24,38.4,195.51
Johor,25-29,4851.04,0.1669,809.44,2589,747.55,481.47,1063.58,160.69,338.83,574.13,121.66,114.25,439.44
Kedah,50-54,5131.83,0.1774,910.37,2627,1052.7,590.95,877.47,124.16,345.51,548.29,203.81,92.52,386.04
Johor,30-34,6728.1,0.1936,1302.89,2589,844.39,593.48,1479.4,215.44,478.37,847.13,132.99,204.5,629.5
W.P. Labuan,50-54,4223.48,0.1989,839.85,2816,886.84,338.8,1107.74,62.6,280.21,360.67,86.16,48.45,212.17
W.P. Putrajaya,20-24,3577.52,0.0871,311.44,2450,501.14,46.43,1373.41,93.38,300.32,461.23,110.41,107.88,271.88
Selangor,60-64,5274.56,0.1541,812.72,2830,544.66,508.31,1207.21,114.23,382.51,965.23,114.55,141.95,483.2
Pahang,55-59,5692.55,0.1768,1006.32,2480,1045.21,530.58,1077.85,141.22,462.96,669.18,143.77,137.57,477.89
Johor,55-59,4707.82,0.1516,713.87,2589,752.12,469.03,1051.45,157.73,341.41,564.84,126.02,110.58,420.77
Sabah,60-64,2892.33,0.0784,226.81,2742,787.82,287.47,836.65,56.29,169.63,253.71,79.85,26.1,167.99
W.P. Putrajaya,55-59,6750.66,0.151,1019.03,2450,638.15,81.47,2194.93,158.43,636.43,1008.48,171.67,250.98,591.08
Negeri Sembilan,15-19,3069.02,0.0942,289.08,2402,783.49,300.65,641.0,96.41,199.6,337.13,86.08,78.78,256.78
Perak,40-44,3194.47,0.1986,634.29,2297,914.64,201.58,735.08,85.75,131.67,249.29,79.32,27.08,135.78
Selangor,30-34,5409.73,0.1562,844.88,2830,576.51,517.56,1295.36,119.77,394.98,936.96,122.26,129.22,472.23
W.P. Kuala Lumpur,60-64,6502.81,0.1548,1006.57,2816,543.0,570.4,1959.19,127.32,408.13,1061.72,79.35,185.18,561.95
Melaka,50-54,4963.04,0.1542,765.31,2670,709.36,554.68,894.38,164.42,363.93,657.62,192.11,169.56,491.67
Pahang,40-44,3249.27,0.1934,628.37,2480,637.3,309.81,590.53,78.19,241.2,361.52,90.05,67.81,244.48
Terengganu,35-39,2944.32,0.1927,567.45,2751,652.52,233.68,523.42,66.94,169.33,404.88,105.75,39.38,180.98
Pulau Pinang,15-19,4896.23,0.1538,752.92,2250,615.82,357.48,1174.57,114.7,340.03,893.55,126.64,98.73,421.81
W.P. Labuan,15-19,4388.89,0.1452,637.07,2816,814.46,403.81,1229.86,67.38,365.17,444.51,84.73,67.62,274.28
W.P. Labuan,15-19,4363.78,0.142,619.61,2816,841.97,362.98,1253.93,67.06,346.84,447.0,86.95,63.64,273.82
Terengganu,45-49,5172.79,0.1725,892.15,2751,985.24,423.26,919.78,125.52,334.13,822.66,179.0,96.02,395.05
Kedah,60-64,7021.01,0.1927,1353.17,2627,898.21,1005.84,1522.09,176.12,237.18,397.14,253.37,198.21,979.68
Kelantan,45-49,4888.95,0.1769,864.81,2271,1142.55,458.93,837.96,64.29,284.16,712.89,117.38,57.84,348.14
Pahang,20-24,4254.09,0.1547,657.91,2480,817.41,428.83,782.94,102.91,342.08,531.37,112.41,110.41,367.84
W.P. Putrajaya,25-29,4709.03,0.1149,541.1,2450,511.23,60.75,1653.28,118.25,443.27,696.17,142.3,160.19,382.49
Sabah,20-24,3879.79,0.1449,562.35,2742,831.48,376.08,1070.55,69.65,234.29,359.68,96.94,36.73,242.05
Kelantan,50-54,7703.9,0.1956,1506.51,2271,1087.05,1001.11,1690.75,104.83,258.95,616.3,184.65,162.9,1090.86
W.P. Kuala Lumpur,20-24,3148.98,0.066,207.79,2816,599.6,244.28,1290.25,79.23,141.07,345.82,42.86,41.19,156.89
Pahang,60-64,2454.67,0.0418,102.6,2480,770.26,248.52,579.6,67.46,157.67,251.07,73.16,43.93,160.39
Johor,45-49,5001.79,0.1644,822.43,2589,794.55,439.25,1138.04,159.26,339.75,614.04,122.68,120.09,451.71
Sabah,15-19,6539.69,0.1947,1273.32,2742,786.75,797.53,1984.84,119.26,214.15,302.91,145.39,113.0,802.54
Sabah,25-29,3942.64,0.1494,588.95,2742,899.9,374.45,1015.37,71.82,237.09,355.19,106.44,38.09,255.34
W.P. Labuan,55-59,4468.97,0.1422,635.61,2816,854.63,380.51,1286.52,66.03,369.68,452.02,86.23,66.97,270.76
W.P. Putrajaya,40-44,5320.89,0.1947,1035.82,2450,501.67,56.2,1714.11,120.27,456.38,712.83,131.24,187.87,404.49
Perlis,20-24,2344.01,0.066,154.79,2140,750.22,271.68,474.95,59.08,145.66,252.46,64.98,26.22,143.98
W.P. Kuala Lumpur,45-49,4637.78,0.1905,883.53,2816,580.37,393.6,1351.04,85.35,246.5,634.84,71.9,73.28,317.37
Johor,20-24,2848.43,0.0719,204.91,2589,601.89,309.51,692.57,111.26,189.55,353.57,83.77,57.39,244.01
Johor,35-39,4896.02,0.1622,794.27,2589,732.64,475.66,1095.35,163.43,340.39,606.24,123.01,137.76,427.28
Kedah,60-64,3648.84,0.1425,520.06,2627,788.25,432.9,662.64,89.42,258.43,405.19,155.59,61.97,274.4
Perak,15-19,2357.41,0.1288,303.65,2297,637.11,197.98,501.59,66.27,133.43,244.95,78.64,30.25,163.53
Kedah,60-64,4332.02,0.1682,728.47,2627,956.93,506.69,775.3,101.72,286.65,448.02,178.45,61.8,288.0
Kedah,40-44,3378.29,0.1423,480.64,2627,914.52,387.78,615.88,87.76,181.22,307.9,145.89,42.26,214.45
Pulau Pinang,40-44,3021.9,0.0968,292.57,2250,628.93,215.39,872.24,79.11,160.04,440.36,89.16,39.95,204.16
W.P. Kuala Lumpur,40-44,3844.21,0.095,365.1,2816,597.8,339.61,1313.31,86.65,202.56,537.18,66.0,69.94,266.07
Perlis,15-19,4027.61,0.1578,635.4,2140,940.97,447.79,702.42,90.17,273.88,484.96,99.74,59.59,292.69
Sabah,60-64,6201.15,0.1899,1177.69,2742,744.67,758.25,1880.07,108.49,201.16,304.82,143.53,111.37,771.09
Johor,45-49,3243.31,0.1933,627.05,2589,728.83,268.32,767.15,104.96,156.84,284.06,78.57,41.23,186.29
Johor,55-59,6246.44,0.1827,1141.47,2589,930.63,546.28,1380.0,210.79,450.5,711.76,151.5,155.34,568.16
Perlis,50-54,4772.26,0.1663,793.64,2140,1012.04,540.95,814.29,112.44,361.97,580.4,116.94,74.88,364.72
W.P. Labuan,55-59,4433.9,0.1442,639.17,2816,966.17,379.98,1230.56,65.36,344.0,422.38,87.11,56.24,242.92
W.P. Labuan,20-24,2380.95,0.049,116.77,2816,693.29,205.49,789.54,40.44,152.15,199.43,48.34,24.01,111.5
W.P. Labuan,50-54,3366.01,0.0998,336.0,2816,858.19,298.51,1032.8,49.91,233.28,275.49,67.48,36.35,178.0
Melaka,55-59,4103.94,0.1432,587.85,2670,753.8,498.52,734.68,141.93,261.47,502.82,173.09,111.85,337.93
Negeri Sembilan,45-49,5534.78,0.165,913.19,2402,905.83,515.11,1101.95,147.76,444.43,668.43,133.09,217.17,487.82
Perlis,35-39,3141.41,0.1957,614.74,2140,852.0,309.36,595.19,63.39,162.83,281.29,70.18,30.1,162.34
